,wave,gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_matches,like,met,decision,decision_o,match,id_col
74,1.0,female,25.0,24.0,European/Caucasian-American,Latino/Hispanic American,0,1.0,1.0,Masters in Public Administration,30.0,10.0,20.0,10.0,10.0,20.0,9.0,9.0,8.0,9.0,7.0,7.0,9.09,18.18,27.27,18.18,18.18,9.09,7.0,4.0,8.0,8.0,8.0,6.0,8.0,8.0,5.0,6.0,7.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,-0.23,6.0,-1.0,6.0,0.0,b'1',b'1',1,74
75,1.0,female,25.0,25.0,European/Caucasian-American,European/Caucasian-American,1,1.0,1.0,Masters in Public Administration,50.0,0.0,30.0,10.0,0.0,10.0,8.0,7.0,7.0,7.0,8.0,7.0,9.09,18.18,27.27,18.18,18.18,9.09,7.0,4.0,8.0,8.0,8.0,6.0,8.0,8.0,5.0,6.0,7.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,0.28,6.0,-1.0,6.0,0.0,b'1',b'1',1,74
76,1.0,female,25.0,30.0,European/Caucasian-American,European/Caucasian-American,1,1.0,1.0,Masters in Public Administration,35.0,15.0,25.0,10.0,5.0,10.0,6.0,4.0,7.0,5.0,6.0,4.0,9.09,18.18,27.27,18.18,18.18,9.09,7.0,4.0,8.0,8.0,8.0,6.0,7.0,8.0,5.0,7.0,7.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,0.05,6.0,-1.0,6.0,0.0,b'1',b'0',0,74
77,1.0,female,25.0,27.0,European/Caucasian-American,European/Caucasian-American,1,1.0,1.0,Masters in Public Administration,33.33,11.11,11.11,11.11,11.11,22.22,9.0,8.0,8.0,8.0,7.0,5.0,9.09,18.18,27.27,18.18,18.18,9.09,7.0,4.0,8.0,8.0,8.0,5.0,6.0,7.0,4.0,5.0,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,0.17,6.0,-1.0,5.0,0.0,b'1',b'1',1,74
78,1.0,female,25.0,28.0,European/Caucasian-American,European/Caucasian-American,1,1.0,1.0,Masters in Public Administration,50.0,0.0,25.0,10.0,0.0,15.0,8.0,7.0,8.0,10.0,8.0,10.0,9.09,18.18,27.27,18.18,18.18,9.09,7.0,4.0,8.0,8.0,8.0,8.0,8.0,5.0,9.0,8.0,9.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,-0.47,6.0,-1.0,7.0,0.0,b'1',b'1',1,74
79,1.0,female,25.0,24.0,European/Caucasian-American,European/Caucasian-American,1,1.0,1.0,Masters in Public Administration,100.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,9.0,9.0,8.0,8.0,9.09,18.18,27.27,18.18,18.18,9.09,7.0,4.0,8.0,8.0,8.0,7.0,6.0,8.0,7.0,9.0,8.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,-0.21,6.0,-1.0,8.0,0.0,b'1',b'1',1,74
80,1.0,female,26.0,27.0,Other,European/Caucasian-American,0,1.0,1.0,Masters in Public Administration,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8.0,7.0,8.0,7.0,5.0,20.0,10.0,20.0,30.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,8.0,10.0,9.0,8.0,7.0,6.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,0.19,6.0,1.0,5.0,0.0,b'1',b'0',0,80
81,1.0,female,26.0,22.0,Other,European/Caucasian-American,0,1.0,1.0,Masters in Public Administration,60.0,0.0,0.0,40.0,0.0,0.0,8.0,8.0,10.0,7.0,6.0,5.0,20.0,10.0,20.0,30.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,0.03,6.0,1.0,10.0,0.0,b'1',b'1',1,80
82,1.0,female,26.0,22.0,Other,Asian/Pacific Islander/Asian-American,0,1.0,1.0,Masters in Public Administration,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,20.0,30.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,5.0,10.0,10.0,6.0,6.0,6.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,0.68,6.0,1.0,8.0,0.0,b'1',b'1',1,80
83,1.0,female,26.0,23.0,Other,European/Caucasian-American,0,1.0,1.0,Masters in Public Administration,30.0,5.0,15.0,40.0,5.0,5.0,7.0,8.0,7.0,8.0,8.0,7.0,20.0,10.0,20.0,30.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,10.0,9.0,8.0,8.0,7.0,7.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,-0.26,6.0,1.0,7.0,0.0,b'1',b'1',1,80
