,wave,gender,age,race,importance_same_race,importance_same_religion,field,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,sports,museums,tvsports,exercise,dining,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,shopping,music,yoga,expected_happy_with_sd_people,expected_num_matches,id_
74,1.0,female,25.0,European/Caucasian-American,1.0,1.0,Masters in Public Administration,9.09,18.18,27.27,18.18,18.18,9.09,7.0,4.0,8.0,8.0,8.0,2.0,9.0,2.0,1.0,10.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,8.0,6.0,6.0,6.0,-1.0,"1.0, female, 25.0, European/Caucasian-American, 1.0, 1.0, Masters in Public Administration, 9.09, 18.18, 27.27, 18.18, 18.18, 9.09, 7.0, 4.0, 8.0, 8.0, 8.0, 2.0, 9.0, 2.0, 1.0, 10.0, 9.0, 3.0, 2.0, 10.0, 8.0, 10.0, 9.0, 9.0, 6.0, 8.0, 6.0, 6.0, 6.0, -1.0"
80,1.0,female,26.0,Other,1.0,1.0,Masters in Public Administration,20.0,10.0,20.0,30.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,4.0,6.0,3.0,1.0,8.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,8.0,9.0,3.0,6.0,1.0,"1.0, female, 26.0, Other, 1.0, 1.0, Masters in Public Administration, 20.0, 10.0, 20.0, 30.0, 10.0, 10.0, 7.0, 6.0, 10.0, 7.0, 7.0, 4.0, 6.0, 3.0, 1.0, 8.0, 7.0, 2.0, 2.0, 10.0, 8.0, 8.0, 10.0, 10.0, 9.0, 8.0, 9.0, 3.0, 6.0, 1.0"
90,1.0,female,26.0,European/Caucasian-American,4.0,4.0,Masters of Social Work&Education,15.0,15.0,15.0,40.0,10.0,5.0,6.0,8.0,10.0,6.0,9.0,9.0,6.0,9.0,9.0,7.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,7.0,8.0,7.0,7.0,-1.0,"1.0, female, 26.0, European/Caucasian-American, 4.0, 4.0, Masters of Social Work&Education, 15.0, 15.0, 15.0, 40.0, 10.0, 5.0, 6.0, 8.0, 10.0, 6.0, 9.0, 9.0, 6.0, 9.0, 9.0, 7.0, 6.0, 7.0, 1.0, 7.0, 8.0, 5.0, 6.0, 7.0, 7.0, 7.0, 8.0, 7.0, 7.0, -1.0"
100,1.0,male,27.0,European/Caucasian-American,7.0,3.0,Finance,35.0,20.0,20.0,20.0,0.0,5.0,8.0,9.0,7.0,8.0,5.0,8.0,7.0,7.0,2.0,6.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,5.0,8.0,1.0,7.0,0.0,"1.0, male, 27.0, European/Caucasian-American, 7.0, 3.0, Finance, 35.0, 20.0, 20.0, 20.0, 0.0, 5.0, 8.0, 9.0, 7.0, 8.0, 5.0, 8.0, 7.0, 7.0, 2.0, 6.0, 5.0, 5.0, 5.0, 4.0, 9.0, 2.0, 4.0, 8.0, 7.0, 5.0, 8.0, 1.0, 7.0, 0.0"
110,1.0,male,22.0,European/Caucasian-American,1.0,1.0,Law,60.0,0.0,0.0,40.0,0.0,0.0,9.0,9.0,9.0,10.0,9.0,9.0,7.0,7.0,9.0,8.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,5.0,9.0,5.0,7.0,3.0,"1.0, male, 22.0, European/Caucasian-American, 1.0, 1.0, Law, 60.0, 0.0, 0.0, 40.0, 0.0, 0.0, 9.0, 9.0, 9.0, 10.0, 9.0, 9.0, 7.0, 7.0, 9.0, 8.0, 6.0, 3.0, 3.0, 5.0, 6.0, 6.0, 4.0, 7.0, 7.0, 5.0, 9.0, 5.0, 7.0, 3.0"
120,1.0,male,22.0,Asian/Pacific Islander/Asian-American,3.0,5.0,Law,19.0,18.0,19.0,18.0,14.0,12.0,4.0,7.0,8.0,8.0,3.0,7.0,5.0,8.0,2.0,9.0,6.0,4.0,7.0,7.0,6.0,8.0,10.0,8.0,9.0,8.0,9.0,1.0,3.0,-1.0,"1.0, male, 22.0, Asian/Pacific Islander/Asian-American, 3.0, 5.0, Law, 19.0, 18.0, 19.0, 18.0, 14.0, 12.0, 4.0, 7.0, 8.0, 8.0, 3.0, 7.0, 5.0, 8.0, 2.0, 9.0, 6.0, 4.0, 7.0, 7.0, 6.0, 8.0, 10.0, 8.0, 9.0, 8.0, 9.0, 1.0, 3.0, -1.0"
130,1.0,male,23.0,European/Caucasian-American,1.0,1.0,Law,30.0,5.0,15.0,40.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,10.0,3.0,6.0,8.0,8.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,6.0,8.0,1.0,8.0,-1.0,"1.0, male, 23.0, European/Caucasian-American, 1.0, 1.0, Law, 30.0, 5.0, 15.0, 40.0, 5.0, 5.0, 9.0, 9.0, 9.0, 9.0, 9.0, 10.0, 3.0, 6.0, 8.0, 8.0, 3.0, 10.0, 8.0, 8.0, 6.0, 7.0, 3.0, 10.0, 6.0, 6.0, 8.0, 1.0, 8.0, -1.0"
140,1.0,male,24.0,Latino/Hispanic American,3.0,1.0,Law,30.0,10.0,20.0,10.0,10.0,20.0,7.0,7.0,7.0,9.0,9.0,9.0,4.0,7.0,9.0,7.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,2.0,7.0,1.0,5.0,-1.0,"1.0, male, 24.0, Latino/Hispanic American, 3.0, 1.0, Law, 30.0, 10.0, 20.0, 10.0, 10.0, 20.0, 7.0, 7.0, 7.0, 9.0, 9.0, 9.0, 4.0, 7.0, 9.0, 7.0, 3.0, 6.0, 7.0, 9.0, 8.0, 6.0, 9.0, 9.0, 6.0, 2.0, 7.0, 1.0, 5.0, -1.0"
150,1.0,male,25.0,European/Caucasian-American,9.0,2.0,Business,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,6.0,7.0,7.0,2.0,6.0,7.0,7.0,5.0,5.0,5.0,8.0,3.0,7.0,8.0,7.0,6.0,8.0,1.0,7.0,3.0,"1.0, male, 25.0, European/Caucasian-American, 9.0, 2.0, Business, 50.0, 0.0, 30.0, 10.0, 0.0, 10.0, 6.0, 6.0, 8.0, 8.0, 6.0, 7.0, 7.0, 2.0, 6.0, 7.0, 7.0, 5.0, 5.0, 5.0, 8.0, 3.0, 7.0, 8.0, 7.0, 6.0, 8.0, 1.0, 7.0, 3.0"
160,1.0,male,30.0,European/Caucasian-American,1.0,1.0,political science,35.0,15.0,25.0,10.0,5.0,10.0,7.0,7.0,6.0,8.0,4.0,8.0,7.0,2.0,9.0,7.0,5.0,4.0,2.0,6.0,4.0,2.0,7.0,9.0,7.0,2.0,7.0,2.0,4.0,1.0,"1.0, male, 30.0, European/Caucasian-American, 1.0, 1.0, political science, 35.0, 15.0, 25.0, 10.0, 5.0, 10.0, 7.0, 7.0, 6.0, 8.0, 4.0, 8.0, 7.0, 2.0, 9.0, 7.0, 5.0, 4.0, 2.0, 6.0, 4.0, 2.0, 7.0, 9.0, 7.0, 2.0, 7.0, 2.0, 4.0, 1.0"
170,1.0,male,27.0,European/Caucasian-American,8.0,8.0,Business,33.33,11.11,11.11,11.11,11.11,22.22,6.0,8.0,6.0,8.0,9.0,5.0,4.0,5.0,5.0,9.0,3.0,4.0,4.0,2.0,6.0,9.0,3.0,9.0,3.0,2.0,6.0,1.0,5.0,2.0,"1.0, male, 27.0, European/Caucasian-American, 8.0, 8.0, Business, 33.33, 11.11, 11.11, 11.11, 11.11, 22.22, 6.0, 8.0, 6.0, 8.0, 9.0, 5.0, 4.0, 5.0, 5.0, 9.0, 3.0, 4.0, 4.0, 2.0, 6.0, 9.0, 3.0, 9.0, 3.0, 2.0, 6.0, 1.0, 5.0, 2.0"
180,1.0,male,28.0,European/Caucasian-American,1.0,1.0,money,50.0,0.0,25.0,10.0,0.0,15.0,10.0,6.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,5.0,6.0,7.0,9.0,8.0,1.0,1.0,7.0,7.0,7.0,7.0,10.0,10.0,-1.0,"1.0, male, 28.0, European/Caucasian-American, 1.0, 1.0, money, 50.0, 0.0, 25.0, 10.0, 0.0, 15.0, 10.0, 6.0, 10.0, 10.0, 10.0, 10.0, 5.0, 10.0, 10.0, 10.0, 5.0, 6.0, 7.0, 9.0, 8.0, 1.0, 1.0, 7.0, 7.0, 7.0, 7.0, 10.0, 10.0, -1.0"
190,1.0,male,24.0,European/Caucasian-American,1.0,1.0,Finance,100.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,4.0,10.0,10.0,8.0,3.0,8.0,8.0,6.0,5.0,6.0,10.0,6.0,1.0,"1.0, male, 24.0, European/Caucasian-American, 1.0, 1.0, Finance, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 7.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 9.0, 4.0, 10.0, 10.0, 8.0, 3.0, 8.0, 8.0, 6.0, 5.0, 6.0, 10.0, 6.0, 1.0"
200,2.0,female,21.0,Asian/Pacific Islander/Asian-American,8.0,10.0,Operations Research,12.0,18.0,20.0,16.0,16.0,18.0,5.0,9.0,7.0,9.0,10.0,10.0,5.0,8.0,10.0,5.0,5.0,2.0,1.0,3.0,7.0,10.0,4.0,7.0,4.0,5.0,8.0,2.0,5.0,0.0,"2.0, female, 21.0, Asian/Pacific Islander/Asian-American, 8.0, 10.0, Operations Research, 12.0, 18.0, 20.0, 16.0, 16.0, 18.0, 5.0, 9.0, 7.0, 9.0, 10.0, 10.0, 5.0, 8.0, 10.0, 5.0, 5.0, 2.0, 1.0, 3.0, 7.0, 10.0, 4.0, 7.0, 4.0, 5.0, 8.0, 2.0, 5.0, 0.0"
216,2.0,female,27.0,Black/African American,1.0,2.0,TC [Health Ed],20.0,20.0,20.0,10.0,10.0,20.0,7.0,8.0,7.0,8.0,7.0,1.0,8.0,2.0,2.0,8.0,8.0,1.0,2.0,6.0,8.0,8.0,8.0,9.0,7.0,8.0,7.0,8.0,4.0,2.0,"2.0, female, 27.0, Black/African American, 1.0, 2.0, TC [Health Ed], 20.0, 20.0, 20.0, 10.0, 10.0, 20.0, 7.0, 8.0, 7.0, 8.0, 7.0, 1.0, 8.0, 2.0, 2.0, 8.0, 8.0, 1.0, 2.0, 6.0, 8.0, 8.0, 8.0, 9.0, 7.0, 8.0, 7.0, 8.0, 4.0, 2.0"
232,2.0,female,21.0,Asian/Pacific Islander/Asian-American,9.0,6.0,Psychology,10.0,20.0,40.0,10.0,10.0,10.0,5.0,8.0,6.0,7.0,8.0,2.0,7.0,2.0,3.0,9.0,6.0,6.0,7.0,7.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,3.0,5.0,3.0,"2.0, female, 21.0, Asian/Pacific Islander/Asian-American, 9.0, 6.0, Psychology, 10.0, 20.0, 40.0, 10.0, 10.0, 10.0, 5.0, 8.0, 6.0, 7.0, 8.0, 2.0, 7.0, 2.0, 3.0, 9.0, 6.0, 6.0, 7.0, 7.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 3.0, 5.0, 3.0"
248,2.0,female,27.0,European/Caucasian-American,2.0,3.0,social work,10.0,20.0,20.0,15.0,20.0,15.0,7.0,9.0,9.0,8.0,8.0,10.0,6.0,1.0,10.0,9.0,6.0,10.0,6.0,3.0,6.0,1.0,6.0,9.0,8.0,6.0,8.0,7.0,5.0,1.0,"2.0, female, 27.0, European/Caucasian-American, 2.0, 3.0, social work, 10.0, 20.0, 20.0, 15.0, 20.0, 15.0, 7.0, 9.0, 9.0, 8.0, 8.0, 10.0, 6.0, 1.0, 10.0, 9.0, 6.0, 10.0, 6.0, 3.0, 6.0, 1.0, 6.0, 9.0, 8.0, 6.0, 8.0, 7.0, 5.0, 1.0"
264,2.0,female,25.0,European/Caucasian-American,10.0,2.0,Social Work,20.0,20.0,15.0,15.0,15.0,15.0,7.0,9.0,7.0,8.0,6.0,7.0,6.0,4.0,7.0,7.0,3.0,5.0,6.0,8.0,9.0,9.0,7.0,10.0,6.0,8.0,8.0,4.0,5.0,0.0,"2.0, female, 25.0, European/Caucasian-American, 10.0, 2.0, Social Work, 20.0, 20.0, 15.0, 15.0, 15.0, 15.0, 7.0, 9.0, 7.0, 8.0, 6.0, 7.0, 6.0, 4.0, 7.0, 7.0, 3.0, 5.0, 6.0, 8.0, 9.0, 9.0, 7.0, 10.0, 6.0, 8.0, 8.0, 4.0, 5.0, 0.0"
